"Gene.Symbols","Gene.Name","Gene","AR","AD","XL","IS"
"PI4KA, PIK4CA, PMGYCHA","Phosphatidylinositol 4-kinase, catalytic, alpha","PI4KA","Y","N","N","N"
"HCF2, HC2, SERPIND1, THPH10","Heparin cofactor II","SERPIND1","N","Y","N","N"
"SNAP29, CEDNIK","Synaptosomal-associated protein, 29kD","SNAP29","Y","N","N","N"
"CRKL","v-crk avian sarcoma virus CT10 oncogene homolog-like","CRKL",,,,
"LZTR1, SWNTS2, NS10","Leucine-zipper-like regulator-1","LZTR1","N","Y","N","N"
"P2RXL1, P2XM, P2X6","Purinergic receptor P2X-like 1","P2RX6",,,,
"SLC7A4, CAT4","Solute carrier family 7 (cationic amino acid transporter, y+ system), member 4","SLC7A4",,,,
"GGT2","Gamma-glutamyltransferase-2","GGT2","N","N","N","N"
"RIMBP3B","RIMS-binding protein 3B","RIMBP3B",,,,
"HIC2, HRG22, KIAA1020","Hypermethylated in cancer 2","HIC2",,,,
"RIMBP3C","RIMS-binding protein 3C","RIMBP3C",,,,
"UBE2L3, UBCH7","Ubiquitin-conjugating enzyme E2L 3","UBE2L3",,,,
"SDF2L1","Stromal cell-derived factor 2-like 1","SDF2L1",,,,
"MIR130B, MIRN130B","Micro RNA 130B","MIR130B",,,,
"PPIL2, CYP60","Peptidyl-prolyl isomerase-like 2","PPIL2",,,,
"YPEL1","Yippee-like 1","YPEL1",,,,
"MAPK1, PRKM1, ERK2","Mitogen-activated protein kinase 1","MAPK1",,,,
"TOP3B","Topoisomerase, DNA, III, beta","TOP3B",,,,
"VPREB1, IGI, VPREB","Pre-B lymphocyte gene 1","VPREB1",,,,
"PRAME, MAPE, OIP4","Preferentially expressed antigen in melanoma","PRAME",,,,
"GGTLC2, GGTL4","Gamma-glutamyltransferase, light chain 2","GGTLC2",,,,
"MIR650","Micro RNA 650","MIR650",,,,
"IGLC1, IGLC","Constant region of lambda light chains","IGLC1",,,,
"RSPH14, RTDR1","Radial spoke head 14, Chlamydomonas, homolog of","RSPH14",,,,
"GNAZ","Guanine nucleotide-binding protein (G protein), alpha z polypeptide","GNAZ",,,,
"RAB36","Ras family, member 36","RAB36",,,,
"BCR, CML, PHL, ALL","Breakpoint cluster region","BCR","N","N","N","N"
"IGLL1, IGO, IGL5, VPREB2, AGM2","Immunoglobulin lambda-like polypeptide 1 (immunoglobulin omega peptide)","IGLL1","Y","N","N","N"
"RGL4, RGR","Ral guanine nucleotide dissociation stimulator-like 4","RGL4",,,,
"ZNF70","Zinc finger protein-70 (Cos17)","ZNF70",,,,
"VPREB3","Pre-B-lymphocyte gene 3","VPREB3",,,,
"CHCHD10, FTDALS2, SMAJ, IMMD","Coiled-coil-helix-coiled-coil-helix domain-containing protein 10","CHCHD10","N","Y","N","N"
"MMP11, STMY3","Matrix metalloproteinase 11 (stromelysin 3)","MMP11",,,,
"SMARCB1, SNF5, INI1, RDT, RTPS1, MRD15, SWNTS1, CSS3","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1","SMARCB1","N","Y","N","N"
"DERL3","DER1-like domain family, member 3","DERL3",,,,
"SLC2A11, GLUT11","Solute carrier family 2 (facilitated glucose transporter), member 11","SLC2A11",,,,
"MIF","Macrophage migration inhibitory factor","MIF","N","N","N","N"
"DDT","D-dopachrome tautomerase","DDT",,,,
"GSTT2","Glutathione S-transferase theta-2","GSTT2",,,,
"CABIN1, CAIN","Calcineurin-binding protein 1","CABIN1",,,,
"SUSD2","Sushi domain-containing protein 2","SUSD2",,,,
"GGT5","Gamma-glutamyltransferase 5","GGT5",,,,
"SPECC1L, KIAA0376, OBLFC1, GBBB2","Sperm antigen with calponin homology and coiled-coil domains 1-like","SPECC1L","N","Y","N","Y"
"ADORA2A","Adenosine A2a receptor","ADORA2A",,,,
"UPB1, BUP1","Beta-ureidopropionase","UPB1","Y","N","N","N"
"GGT1, GGT","Gamma-glutamyltransferase 1","GGT1",,,,
"PIWIL3","PIWI-like 3","PIWIL3",,,,
"CRYBB3, CRYB3, CATCN2, CTRCT22","Crystallin, beta-B3","CRYBB3","Y","Y","N","N"
"CRYBB2, CRYB2, CTRCT3, CCA2","Crystallin, beta-B2","CRYBB2","N","N","N","N"
"BRV2","Vertigo, benign recurrent, 2","","N","N","N","N"
"CDAGS","Craniosynostosis, anal anomalies, and porokeratosis syndrome","","Y","N","N","N"
"HCHGQ3","Hematocrit/hemoglobin quantitative trait locus 3","","N","N","N","N"
"ITS","Insulinoma tumor suppressor gene locus","","N","N","N","N"
"KAZA1","Kala-azar (visceral leishmaniasis), susceptibility to, 1","","N","N","N","N"
"OPA5","Optic atrophy 5","OPA5","N","Y","N","N"
"SQTL2","Smoking as a quantitative trait locus 2","","N","N","N","N"
"ADRBK2, BARK2, GRK3","Adrenergic, beta, receptor kinase-2","GRK3",,,,
"MYO18B, KFS4","Myosin XVIIIB","MYO18B","Y","N","N","N"
"SEZ6L","Seizure-related 6-like","SEZ6L",,,,
"HPS4","HPS gene 4","HPS4","N","N","N","N"
"SRRD","SRR1 domain-containing protein","SRRD",,,,
"TFIP11, TIP39, NTR1","Tuftelin-interacting protein 11","TFIP11",,,,
"TPST2","Tyrosylprotein phosphotransferase 2","TPST2",,,,
"CRYBB1, CATCN3, CTRCT17","Crystallin, beta B1","CRYBB1","N","N","N","N"
"CRYBA4, CTRCT23","Crystallin, beta polypeptide A4","CRYBA4","N","N","N","N"
"MIAT, C22orf35","MIAT gene","MIAT","N","N","N","N"
"MN1, MGCR","Meningioma chromosome region","MN1","N","Y","N","N"
"PITPNB","Phosphatidylinositol transfer protein, beta","PITPNB",,,,
"TTC28, TPRBK, KIAA1043","Tetratricopeptide repeat domain-containing protein 28","TTC28",,,,
"CHEK2, RAD53, CHK2, CDS1, LFS2","Checkpoint kinase 2, S. pombe, homolog of (RAD53, S. cerevisiae, homolog of)","CHEK2","N","Y","N","N"
"HSC20, HSCB, JAC1","HSC20, E. coli, homolog of","HSCB",,,,
"XBP1, XBP2","X-box-binding protein-1","XBP1","N","N","N","N"
"ZNRF3, KIAA1133","Zinc finger and ring finger protein 3","ZNRF3",,,,
"KREMEM1, KRM1","Kringle domain-containing transmembrane protein 1","KREMEN1",,,,
"EWSR1, EWS","Ewing sarcoma breakpoint region-1","EWSR1","N","N","N","N"
"GAS2L1, GAR22","Growth arrest-specific 2 like 1","GAS2L1",,,,
"RASL10A, RRP22","Ras-like, family 10, member A","RASL10A",,,,
"AP1B1, ADTB1, BAM22, CLAPB2","Adaptor-related protein complex 1, beta 1 subunit (adaptin, beta)","AP1B1",,,,
"RFPL1","RET finger protein-like 1","RFPL1",,,,
"RFPL1S","Ret finger protein-like 1, antisense","RFPL1S",,,,
"NEFH, CMT2CC","Neurofilament, heavy polypeptide","NEFH","Y","Y","N","N"
"THOC5, FMIP","THO complex 5","THOC5",,,,
"NIPSNAP1","4-nitrophenylphosphatase domain and nonneuronal SNAP25-like 1","NIPSNAP1",,,,
"NF2","Merlin","NF2","N","Y","N","N"
"UCRC","Ubiquinol-cytochrome C reductase complex, 7.2kD subunit","UQCR10",,,,
"ASCC2, p100","Activating signal cointegrator 1 complex, subunit 2","ASCC2",,,,
"MTMR3","Myotubularin-related protein 3","MTMR3",,,,
"LIF, HILDA","Leukemia inhibitory factor (cholinergic differentiation factor)","LIF",,,,
"OSM","Oncostatin M","OSM",,,,
"GATSL3, CASTOR1","GATS protein-like 3","GATSL3",,,,
"TBC1D10A, EPI64","TBC1 domain family, member 10A","TBC1D10A",,,,
"SF3A1, SF3A120, SAP114, PRP21","Splicing factor 3A, subunit 1","SF3A1",,,,
"SEC14L2, TAP, KIAA1186","Sec14-like 2","SEC14L2",,,,
"MTFP1","Mitochondrial fission process 1","MTFP1",,,,
"SEC14L3, TAP2","Sec14-like 3","SEC14L3",,,,
"SEC14L4, TAP3","Sec14-like 4","SEC14L4",,,,
"GAL3ST1, CST","Galactose-3-O-sulfotransferase 1","GAL3ST1",,,,
"PES1, PES","Pescadillo, zebrafish, homolog of, 1","PES1",,,,
"TCN2, TC2","Transcobalamin II","TCN2","Y","N","N","N"
"OSBP2, ORP4, KIAA1664","Oxysterol-binding protein 2","OSBP2",,,,
"MORC2, ZCW3, ZCWCC1, KIAA0852, CMT2Z","MORC family CW-type zinc finger protein 2","MORC2","N","Y","N","N"
"TUG1","Taurine-upregulated gene 1, noncoding","TUG1",,,,
"SMTN","Smoothelin","SMTN",,,,
"SELM, SEPM","Selenoprotein M","",,,,
"INPP5J, PIB5PA, PIPP","Inositol polyphosphate-5-phosphatase J","INPP5J",,,,
"PLA2G3, SPLA2III","Phospholipase A2, group III","PLA2G3",,,,
"LIMK2","LIM domain kinase 2","LIMK2",,,,
"ZNF278, PATZ, MAZR","Zinc finger protein-278","PATZ1",,,,
"EIF4ENIF1","Eukaryotic translation initiation factor 4E nuclear import factor 1","EIF4ENIF1",,,,
"SFI1, KIAA0542","SFI1, yeast, homolog of","SFI1",,,,
"PISD, PSD, PSSC","Phosphatidylserine decarboxylase","PISD",,,,
"DEPDC5, KIAA0645, FFEVF","DEP domain-containing protein 5","DEPDC5","N","Y","N","N"
"HPC6","Prostate cancer, hereditary, 6","","N","Y","N","N"
"MDNS","Mammary-digital-nail syndrome","","N","Y","N","N"
"YWHAH, YWHA1","Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide 22","YWHAH",,,,
"SLC5A1, SGLT1","Solute carrier family 5 (sodium/glucose transporter), member 1","SLC5A1","Y","N","N","N"
"RFPL2","RET finger protein-like 2","RFPL2",,,,
"RFPL3","RET finger protein-like 3","RFPL3",,,,
"RFPL3S","Ret finger protein-like 3, antisense","RFPL3S",,,,
"RTCB, C22orf28, HSPC117","RNA 2-prime, 3-prime cyclic phosphate and 5-prime-OH ligase","RTCB",,,,
"BPIFC, BPIL2","BPI fold-containing protein, family C","BPIFC",,,,
"FBXO7, FBX7, FBX, PKPS, PARK15","F-box only protein 7","FBXO7","Y","N","N","N"
"SYN3","Synapsin III","SYN3",,,,
"TIMP3, SFD","Tissue inhibitor of metalloproteinase-3","TIMP3","N","Y","N","N"
"LARGE, KIAA0609, MDC1D, MDDGA6, MDDGB6","Acetylglucosaminyltransferase-like protein","LARGE1","Y","N","N","N"
"ISX, RAXLX","Intesting-specific homeobox","ISX",,,,
"HMGXB4, HMG2L1","HMG box domain-containing 4","HMGXB4",,,,
"TOM1","Target of MYB1, chicken, homolog of","TOM1",,,,
"HMOX1, HMOX1D","Heme oxygenase, decycling, 1","HMOX1","N","N","N","N"
"MCM5, CDC46","Minichromosome maintenance, S. cerevisiae, homolog of, 5","MCM5",,,,
"RASD2, RHES, TEM2","RASD family, member 2","RASD2",,,,
"MB","Myoglobin","MB",,,,
"APOL6","Apolipoprotein L6","APOL6",,,,
"APOL5","Apolipoprotein L5","APOL5",,,,
"RBFOX2, RBM9, FOX2, RTA","RNA binding protein, fox-1 homolog 2","RBFOX2",,,,
"APOL3","Apolipoprotein L3","APOL3",,,,
"APOL4","Apolipoprotein L4","APOL4","N","Y","N","N"
"APOL2","Apolipoprotein L2","APOL2","N","Y","N","N"
"APOL1, FSGS4","Apolipoprotein L1","APOL1","N","N","N","N"
"MYH9, MHA, FTNS, DFNA17, BDPLT6","Myosin, heavy polypeptide-9, nonmuscle","MYH9","N","Y","N","N"
"TXN2, TRX2, MTRX, COXPD29","Thioredoxin 2","TXN2","Y","N","N","N"
"FOXRED2, ERFAD","FAD-dependent oxidoreductase domain-containing protein 2","FOXRED2",,,,
"EIF3D, EIF3S7","Eukaryotic translation initiation factor 3, subunit D","EIF3D",,,,
"CACNG2, MRD10","Calcium channel, voltage-dependent, gamma-2 subunit (stargazin)","CACNG2","N","Y","N","N"
"IFT27, RABL4, BBS19","Intraflagellar transport 27, Chlamydomonas, homolog of","IFT27","Y","N","N","N"
"PVALB","Parvalbumin","PVALB",,,,
"NCF4, P40PHOX, CGD3","Neutrophil cytosolic factor-4","NCF4","Y","N","N","N"
"CSF2RB, SMDP5","Colony-stimulating factor-2 receptor, beta, low-affinity","CSF2RB","Y","N","N","N"
"TST, RDS","Thiosulfate sulfurtransferase (Rhodanese)","TST",,,,
"MPST","Mercaptopyruvate sulfurtransferase","MPST",,,,
"KCTD17","Potassium channel tetramerization domain-containing protein 17","KCTD17","N","Y","N","N"
"TMPRSS6, IRIDA","Transmembrane protease, serine 6 (matriptase 2)","TMPRSS6","Y","N","N","N"
"IL2RB","Interleukin-2 receptor, beta polypeptide","IL2RB",,,,
"C1QTNF6, CTFP6","C1q- and tumor necrosis factor-related protein 6","C1QTNF6",,,,
"DUP22q13, C22DUPq13","Chromosome 22q13 duplication syndrome","","N","N","N","Y"
"MENAQ1","Menarche, age at, QTL 1","","N","N","N","N"
"NAFLD1","Fatty liver disease, nonalcoholic, susceptibility to, 1","","N","N","N","N"
"NRCLP4","Narcolepsy 4","","N","N","N","N"
"SSTR3","Somatostatin receptor-3","SSTR3",,,,
"RAC2","Ras-related C3 botulinum toxin substrate 3 (rho family, small GTP-binding protein Rac2)","RAC2","N","N","N","N"
"CYTH4, PSCD4, CYT4","Cytohesin 4","CYTH4",,,,
"MFNG","Manic fringe","MFNG",,,,
"CARD10, CARMA3, BIMP1","Caspase recruitment domain-containing protein 10","CARD10",,,,
"CDC42EP1, MSE55, BORG5, CEP1","CDC42 effector protein 1","CDC42EP1",,,,
"LGALS2","Lectin, galactoside-binding, soluble, 2","LGALS2","N","N","N","N"
"GGA1","Golgi associated, gamma adaptin ear containing, ARF binding protein 1","GGA1",,,,
"LGALS1","Lectin, galactose-binding, soluble, 1","LGALS1",,,,
"TRIOBP, KIAA1662","Trio- and F-actin-binding protein","TRIOBP","Y","N","N","N"
"H1F0, H1FV","H1 histone family, member 0","H1F0",,,,
"GCAT, KBL","Glycine C-acetyltransferase","GCAT",,,,
"GALR3","Galanin receptor 3","GALR3",,,,
"ANKRD54, LIAR","Ankyrin repeat domain-containing protein 54","ANKRD54",,,,
"MIR659","Micro RNA 659","MIR659",,,,
"POLR2F","Polymerase II, RNA, subunit F","POLR2F",,,,
"SOX10, WS4, WS4C, PCWH","SRY (sex-determining region Y)-box-10","SOX10","N","Y","N","N"
"PICK1, PRKCABP","Protein interacting with C kinase 1","PICK1",,,,
"SLC16A8, MCT3","Solute carrier family 16 (monocarboxylic acid transporter), member 8","SLC16A8",,,,
"PLA2G6, IPLA2, INAD1, NBIA2B, NBIA2A, PARK14","Phospholipase A2, group VI","PLA2G6","Y","N","N","N"
"MAFF","v-MAF avian musculoaponeurotic fibrosarcoma oncogene family, protein F","MAFF",,,,
"CSNK1E","Casein kinase-1, epsilon","CSNK1E",,,,
"KCNJ4, HIR","Potassium inwardly-rectifying channel, subfamily J, member 4","KCNJ4",,,,
"DDX17, RH70, P72","DEAD/H box-17","DDX17",,,,
"DMC1, LIM15","Disrupted meiotic cDNA 1, yeast, homolog of","DMC1",,,,
"CBY, C22orf2, HS508I15A","Chibby","CBY1",,,,
"TOMM22, TOM22","Translocase of outer mitochondrial membrane 22, yeast, homolog of","TOMM22",,,,
"JOSD1, KIAA0063","Josephin domain-containing protein 1","JOSD1",,,,
"GTPBP1, GP1","GTP-binding protein 1","GTPBP1",,,,
"SUN2, UNC84B, KIAA0668","SAD1 and UNC84 domain-containing protein 2","SUN2",,,,
"DNAL4, MRMV3","Dynein, axonemal, light chain 4","DNAL4","Y","N","N","N"
"APOBEC3A, PHRBN","Apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3A (phorbolin 1)","APOBEC3A",,,,
"APOBEC3B, PHRBNL","Apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B","APOBEC3B",,,,
"APOBEC3C","Apolipoprotein B mRNA-editing enzyme, catalytic polypeptide-like 3C","APOBEC3C",,,,
"APOBEC3F","Apolipoprotein B mRNA-editing enzyme, catalytic polypeptide-like 3F","APOBEC3F",,,,
"APOBEC3G, MDS019, CEM15, FLJ12740","Apolipoprotein B mRNA-editing enzyme, catalytic polypeptide-like 3G","APOBEC3G",,,,
"APOBEC3H, ARP10","Apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3H","APOBEC3H",,,,
"CBX7","Chromobox homolog 7","CBX7",,,,
"PDGFB, SIS, IBGC5","Platelet-derived growth factor, beta polypeptide (oncogene SIS)","PDGFB","N","Y","N","N"
"RPL3","Ribosomal protein L3","RPL3",,,,
"SNORD83B, RNU83B","Small nucleolar RNA, C/D box, 83B","SNORD83B",,,,
"SNORD83A, RNU83A","Small nucleolar RNA, C/D box, 83A","SNORD83A",,,,
"RNU86","RNA, U86 small nucleolar","SNORD139",,,,
"SNORD43, RNU43","Small nucleolar RNA, C/D box, 43","SNORD43",,,,
"SYNGR1","Synaptogyrin 1","SYNGR1",,,,
"TAB1, MAP3K7IP1","Tak1 (MAP3K7) binding protein 1","TAB1",,,,
"MGAT3, GNT3","Beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase","MGAT3",,,,
"MEIF1, SMCR7L, MID51","Mitochondrial elongation factor 1","MIEF1",,,,
"ATF4, CREB2, TAXREB67","Activating transcription factor 4","ATF4",,,,
"RPS19BP1, S19BP, MGC52010","Ribosomal protein S19 binding protein 1","RPS19BP1",,,,
"CACNA1I, KIAA1120","Calcium channel, voltage-dependent, T type, alpha-1I subunit","CACNA1I",,,,
"GRAP2, GRID","GRB2-related adaptor protein 2","GRAP2",,,,
"TNRC6B, KIAA1093","Trinucleotide repeat-containing gene 6B","TNRC6B",,,,
"ADSL","Adenylosuccinate lyase","ADSL","Y","N","N","N"
"SGSM3, RUTBC3, MAP, RUSC3","Small G protein signaling modulator 3","SGSM3",,,,
"MKL1, AMKL, MAL","Megakaryoblastic leukemia 1 gene","MKL1","N","N","N","N"
"MCHR1, GPR24, SLC1","Melanin-concentrating hormone receptor 1","MCHR1",,,,
"SLC25A17, PMP34","Solute carrier family 25 (mitochondrial carrier), member 17 (peroxisomal membrane protein, 34kD)","SLC25A17",,,,
"ST13, P48, HOP","Suppression of tumorigenicity 13","ST13",,,,
"XPNPEP3, APP3, NPHPL1","X-prolyl aminopeptidase 3","XPNPEP3","Y","N","N","N"
"DNAJB7, DJ5, HSC3","DNAJ/HSP40 homolog, subfamily B, member 7","DNAJB7",,,,
"RBX1, ROC1","RING-box 1","RBX1",,,,
"EP300, RSTS2","E1A-binding protein, 300kD","EP300","N","Y","N","Y"
"L3MBTL2, L3MBT","L3MBT-like 2","L3MBTL2",,,,
"CHADL","Chondroadherin-like","CHADL",,,,
"TEF","Thyrotroph embryonic factor","TEF",,,,
"TOB2, KIAA1663","Transducer of erbb2, 2","TOB2",,,,
"ACO2, ICRD, OPA9","Aconitase, mitochondrial","ACO2","Y","N","N","N"
"PMM1","Phosphomannomutase 1","PMM1",,,,
"DESI1, PPPDE2","Desumoylating isopeptidase 1","DESI1",,,,
"XRCC6, G22P1, TLAA, Ku70","X-ray repair, complementing defecting, in chinese hamster, 6","XRCC6",,,,
"NHP2L1","Non-histone chromosome protein 2, S. cerevisiae, like 1","SNU13",,,,
"SREBF2","Sterol regulatory element binding transcription factor 2","SREBF2",,,,
"MIR33A, MIRN33A","Micro RNA 33A","MIR33A",,,,
"TNFRSF13C, BAFFR, CVID4","Tumor necrosis factor receptor superfamily, member 13C","TNFRSF13C","Y","N","N","N"
"PANE1, C22orf18","Proliferation-associated nuclear element 1","CENPM",,,,
"SEPT3, SEP3","Septin 3","SEPT3",,,,
"WBP2NL, PAWP","WWBP2 N-terminal-like protein","WBP2NL",,,,
"NAGA","Acetylgalactosaminidase, alpha-N- (alpha-galactosidase B)","NAGA","Y","N","N","N"
"FAM109B, SES2, IPIP27B","Family with sequence similarity 109, member B","FAM109B",,,,
"SMDT1, EMRE, C22orf32","Single-pass membrane protein with aspartate-rich tail 1","SMDT1",,,,
"NDUFA6","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6","NDUFA6",,,,
"CYP2D6, CPD6, P450DB1","Cytochrome P450, subfamily IID, polypeptide 6","CYP2D6","Y","N","N","N"
"TCF20, SPBP, AR1","Transcription factor 20","TCF20",,,,
"NFAM1, CNAIP","NFAT activating protein with ITAM motif 1","NFAM1",,,,
"SERHL","Serine hydrolase-like","SERHL",,,,
"POLDIP3, SKAR, PDIP46","Polymerase delta-interacting protein 3","POLDIP3",,,,
"CYB5R3, DIA1, B5R","Cytochrome b5 reductase 3","CYB5R3","Y","N","N","N"
"A4GALT, P1PK","Alpha 1,4-galactosyltransferase","A4GALT","N","N","N","N"
"ARFGAP3","ADP-ribosylation factor GTPase-activating protein 3","ARFGAP3",,,,
"PACSIN2","Protein kinase C and casein kinase substrate in neurons 2","PACSIN2",,,,
"TTLL1, KIAA0173","tubulin tyrosine ligase-like protein 1","TTLL1",,,,
"BIK, NBK","Bcl2-interacting killer","BIK",,,,
"MCAT","Malonyl CoA:ACP acyltransferase, mitochondrial","MCAT",,,,
"TSPO, BZRP, PBR, PBS, BPBS","Translocator protein, 18kD (benzodiazepine receptor, peripheral type)","TSPO",,,,
"SCUBE1","Signal peptide-, CUB domain-, and EGF-like domains-containing protein 1","SCUBE1",,,,
"MPPED1, C22orf1, 239AB","Metallophosphoesterase domain-containing protein 1","MPPED1",,,,
"SULT4A1, BRSTL1","Sulfotransferase family 4A, member 1","SULT4A1",,,,
"PNPLA5, GS2L","Patatin-like phospholipase domain-containing 5","PNPLA5",,,,
"PNPLA3, ADPN","Patatin-like phospholipase domain-containing protein 3","PNPLA3",,,,
"SAMM50, SAM50","Sorting and assembly machinery component 50, S. cerevisiae, homolog of","SAMM50",,,,
"PARVB","Parvin, beta","PARVB",,,,
"PARVG","Parvin, gamma","PARVG",,,,
"PRR5, PP610","Proline-rich protein 5","PRR5",,,,
"ARHGAP8, BPGAP1","GTPase-activating protein, RHO, 8","ARHGAP8",,,,
"PHF21B, PHF4, BHC80L","PHD finger protein 21B","PHF21B",,,,
"NUP50, NPAP60L, NPAP60","Nucleoporin, 50 kD","NUP50",,,,
"UPK3A, UPK3, UPIII","Uroplakin 3A","UPK3A",,,,
"FBLN1","Fibulin 1","FBLN1","N","Y","N","N"
"ATXN10, SCA10","Ataxin 10","ATXN10","N","Y","N","N"
"WNT7B","Wingless-type MMTV integration site family, member-7B","WNT7B",,,,
"MIRLET7A3, LET7A3, MIRNLET7A3","Micro RNA let7a3","MIRLET7A3",,,,
"MIRLET7B, LET7B, MIRNLET7B","Micro RNA Let7B","MIRLET7B",,,,
"PPARA, PPAR","Peroxisome proliferator-activated receptor-alpha","PPARA","N","N","N","N"
"PKDREJ","Polycystic kidney disease and sea urchin REJ homolog-like","PKDREJ",,,,
"TRMU, MTO2","tRNA 5-methylaminomethyl-2-thiouridylate methyltransferase","TRMU","Y","N","N","N"
"CELSR1","Cadherin EGF LAG seven-pass G-type receptor 1","CELSR1",,,,
"GRAMD4, KIAA0767, DIP","Gram domain-containing protein 4","GRAMD4",,,,
"CERK, KIAA1646","Ceramide kinase","CERK",,,,
"TBC1D22A, C22orf4","TBC1 domain family, member 22A","TBC1D22A",,,,
"BRL","BR140-like gene","BRD1",,,,
"ZBED4, KIAA0637","Zinc finger BED domain-containing protein 4","ZBED4",,,,
"ALG12, CDG1G","Dolichyl-P-mannose:Man-7-GlcNAc-2-PP-dolichyl-alpha-6- mannosyltransferase","ALG12","N","N","N","N"
"PIM3","Oncogene PIM3","PIM3",,,,
"IL17REL","Interleukin 17 receptor E-like","IL17REL",,,,
"MLC1, LVM, VL","MLC1 gene","MLC1","Y","N","N","N"
"MOV10L1","Mov10-like 1","MOV10L1",,,,
"PANX2, PX2","Pannexin 2","PANX2",,,,
"SELO","Selenoprotein O","",,,,
"TUBGCP6, GCP6, KIAA1669, MCCRP1","Tubulin-gamma complex-associated protein 6","TUBGCP6","Y","N","N","N"
"MAPK12, SAPK3, ERK3","Mitogen-activated protein kinase 12 (Stress-activated protein kinase-3)","MAPK12",,,,
"PLXNB2, MM1","Plexin B2","PLXNB2",,,,
"SAPS2, PP6R2, KIAA0685","SAPS domain family, member 2","PPP6R2",,,,
"SBF1, MTMR5, CMT4B3","SET-binding factor 1 (myotubularin-related protein 5)","SBF1","Y","N","N","N"
"NCAPH2, CAPH2","Non-SMC condensin II complex subunit H2","NCAPH2",,,,
"SCO2, CEMCOX1, MYP6","SCO2 cytochrome c oxidase assembly protein","SCO2","Y","Y","N","N"
"TYMP, ECGF1, MNGIE, PDECGF, MEDPS1, MTDPS1","Thymidine phosphorylase","TYMP","Y","N","N","N"
"SYCE3","Synaptonemal complex central element protein 3","SYCE3",,,,
"CPT1B","Carnitine palmitoyltransferase I, muscle","CPT1B",,,,
"CHKB, CHKL, CKEKB, EKB, MDCMC","Choline kinase, beta","CHKB","Y","N","N","N"
"MAPK8IP2, JIP2, IB2","Mitogen-activated protein kinase 8-interacting protein 2","MAPK8IP2",,,,
"ARSA","Arylsulfatase A","ARSA","Y","N","N","N"
"SHANK3, PSAP2, PROSAP2, KIAA1650, DEL22q13.3, SCZD15","SH3 and multiple ankyrin repeat domains 3","SHANK3","N","N","N","Y"
"ACR","Acrosin","ACR","N","N","N","N"
"RABL2B","RAB-like 2B","RABL2B",,,,
"MSK41","Antigen MSK41 identified by monoclonal antibody E3","",,,,
"AGMX2, XLA2, IMD6","Agammaglobulinemia, X-linked 2 (with growth hormone deficiency)","AGMX2","N","N","Y","N"
"AIC","Aicardi syndrome","AIC","N","N","Y","N"
"ANIB5","Aneurysm, intracranial berry, 5","","N","N","N","N"
"ARSC2","Arylsulfatase C, f form","ARSC2",,,,
"EMWX","Episodic muscle weakness, X-linked","EMWX","N","N","Y","N"
"FGS3","FG syndrome 3","FGS3","N","N","N","N"
"HDPA","Hodgkin disease, susceptibility, pseudoautosomal","","N","N","N","N"
"LECD","Corneal dystrophy, Lisch epithelial","","N","N","Y","N"
"MNG2","Multinodular goiter-2","","N","N","Y","N"
"MRX2","Mental retardation, X-linked, 2","","N","N","Y","N"
"MRX49","Mental retardation, X-linked-49","","N","N","Y","N"
"OASD","Ocular albinism and sensorineural deafness","OASD","N","N","Y","N"
"VSPA","Visuospatial/perceptual abilities","","N","N","Y","N"
"XG","Xg blood group","","N","N","N","N"
"PLCXD1","Phospholipase C, phosphatidylinositol-specific, X domain-containing protein 1","PLCXD1",,,,
"GTPBP6, PGPL","GTP-binding protein 6","GTPBP6",,,,
"PPP2R3B, PR48","Protein phosphatase 2, regulatory subunit B-double prime, beta","PPP2R3B",,,,
"SHOX, GCFX, SS, PHOG","Short stature homeo box","SHOX","Y","Y","N","N"
"CRLF2, CRL2","Cytokine receptor-like factor 2","CRLF2",,,,
"CSF2RA, SMDP4","Colony-stimulating factor-2 receptor, alpha, low-affinity, granulocyte-macrophage","CSF2RA","N","N","N","N"
"IL3RA","Interleukin-3 receptor, alpha subunit","IL3RA",,,,
"SLC25A6, ANT3","Solute carrier family 25 (mitochondrial carrier), member 6 (adenine nucleotide translocator-3, liver)","SLC25A6",,,,
"ASMTLX, ASTML","Acetylserotonin methyltransferase-like","ASMTL",,,,
"P2RY8, P2Y8","Pyrimidinergic receptor P2Y, G protein-coupled, 8","P2RY8",,,,
"AKAP17A, SFRS17A, DXYS155E, XE7","A kinase (PRKA) anchor protein 17A","AKAP17A",,,,
"ASMT, HIOMT","Acetylserotonin methyltransferase","ASMT",,,,
"ZBED1, ALTE, KIAA0785, TRAMP","Zinc finger BED domain-containing protein 1","ZBED1",,,,
"CD99, MIC2, MIC2X","CD99 antigen (MIC2 (monoclonal antibody 12E7))","CD99",,,,
"XG, PBDX","XG glycoprotein","XG",,,,
"GYG2, GN2","Glycogenin 2","GYG2",,,,
"ARSD","Arylsulfatase D","ARSD",,,,
